source,target,weight
1000071451322601472,70740986,2
1000127610599460864,1331018240470917120,1
1000162987406114817,70740986,1
1000176387788017665,1244618503619035137,1
1000176387788017665,73463687,1
1000177350103982088,70740986,1
1000239363454787589,2484580446,1
1000440771701608448,221651256,1
1000528076965597184,1218767468954411011,1
1000528076965597184,1351944444560474117,1
1000528076965597184,1361397240670134275,1
1000528076965597184,4249074555,1
1000528076965597184,70740986,1
1000528076965597184,766124625851981825,1
1000554125770178560,89282580,1
1000753146342363136,1218767468954411011,1
1000753146342363136,70740986,1
1000803583460368389,70740986,1
1000879041501696000,1064516705685331969,1
1000879041501696000,2528342636,1
1000879041501696000,42301660,1
1000879041501696000,967299284235440128,2
1000904228,1077631261101965312,1
1000917118563516417,1110997556090359809,1
1000917118563516417,1218767468954411011,1
1000917118563516417,357924963,1
1000917118563516417,964657063744950273,1
1000917118563516417,973596382991912962,1
1000917118563516417,996938925619974144,1
1000925958185009152,1198827021104750592,1
1000925958185009152,4160731461,1
1000925958185009152,70740986,2
1001057933457788929,1116071575407796224,1
1001104732545482754,1218767468954411011,1
1001104732545482754,1331018240470917120,1
1001104732545482754,70740986,1
1001121755266596865,1360406910684585988,1
1001122832728903681,1218767468954411011,1
1001122832728903681,22220277,1
1001122832728903681,70740986,1
1001207021562220544,70740986,1
1001327811108392960,118432756,1
1001567678522429441,70740986,1
1001576572447490049,612872505,1
1001614845869993986,1218767468954411011,1
1001654060372590593,1218767468954411011,1
1001775681699696642,70740986,1
1001893750174609408,1138440422173413376,1
1001893750174609408,1218767468954411011,2
1001893750174609408,221651256,1
1001893750174609408,89282580,1
1001896348659077122,1068681410444173314,1
1001896348659077122,1110997556090359809,1
1001896348659077122,1216284665746804737,1
1001896348659077122,1218767468954411011,2
1001896348659077122,1331018240470917120,2
1001896348659077122,1557421386,1
1001896348659077122,2869129385,1
1001896348659077122,70740986,1
1001896348659077122,798205169330769920,1
1001896348659077122,884220846201589764,1
1001896348659077122,95419614,1
1001896348659077122,960578596774535168,1
1001925273766514688,1113940515941171201,1
1001925273766514688,1151340112955019265,1
1001925273766514688,1218767468954411011,1
1001925273766514688,1331018240470917120,1
1001925273766514688,287998291,1
1001925273766514688,70740986,3
1001925273766514688,908850741053444096,1
1001998508252155904,70740986,1
1002055951342485505,70740986,1
1002224034950496256,70740986,1
1002243167486431233,1383882592995319816,1
1002243167486431233,2484511346,1
1002243167486431233,3330717731,1
1002243167486431233,70740986,1
1002243582349139968,70740986,1
1002264516384690176,221651256,1
1002264516384690176,89282580,1
1002264516384690176,967299284235440128,1
1002266030457151488,1218767468954411011,1
1002602961430818818,1218767468954411011,1
1002749682970439687,1238467666064683008,1
1002757320965787649,221651256,1
1002757320965787649,70740986,1
100281443,973596382991912962,1
1002898212,4170023057,1
1002898212,967299284235440128,1
1002959257984290816,1136439640867647488,1
1003057832713969664,33609614,1
100318146,1151178610142797824,1
10033492,967299284235440128,1
1003403452075200512,1177644192610361345,1
1003433854760148992,21308602,1
1003489846445400064,1198827021104750592,1
1003489846445400064,70740986,1
1003649010585014272,1218767468954411011,1
1003649010585014272,1360406910684585988,1
1003649010585014272,70740986,1
1003967773045817345,3117314104,1
1004034408406507520,1005439722288631808,1
1004034408406507520,1303416853344202752,1
1004034408406507520,967620697,1
1004064015570567168,1216284665746804737,1
1004064015570567168,999963870545489922,1
1004157333872750593,741016777002352640,1
1004162013432635393,24317204,1
100427778,42301660,1
1004432168641105920,1218767468954411011,2
1004516636060213249,1371246554774962176,1
1004516636060213249,70740986,1
1004672124089458688,1218767468954411011,2
1004672124089458688,1380006778012831747,1
1004672124089458688,70740986,2
1004887180089679877,1218767468954411011,1
1004887180089679877,70740986,1
1005017541159391232,70740986,1
1005037993,70740986,1
1005197616,1151340112955019265,1
1005197616,132779820,1
1005210870715244545,70740986,1
1005230612242944001,22520624,1
1005498667418177536,999963870545489922,1
100552476,1151340112955019265,1
100552476,70740986,1
100552476,97978456,1
1005558985792028673,21308602,1
1005562239389138944,138203134,1
1005562239389138944,353949686,1
1005562239389138944,42301660,1
1005562239389138944,4868058556,1
1005562239389138944,70740986,3
1005562239389138944,725117277524267008,1
1005562239389138944,798205169330769920,1
1005562239389138944,804051741515935744,1
1005574043507019781,70740986,1
100565576,1216284665746804737,1
100581338,1151340112955019265,1
1005902045172379649,158253154,1
1005902045172379649,70740986,1
1005953432874901504,70740986,1
1006216010771378176,70740986,1
1006228517753905153,1151340112955019265,1
1006228517753905153,70740986,1
1006234108899610629,1218767468954411011,1
1006249711,70740986,1
1006342624972886016,129969764,1
1006342624972886016,21308602,1
1006603787618963458,1198827021104750592,1
1006603787618963458,70740986,1
1007029765969252352,1116071575407796224,1
1007040534521827328,1334300241106001922,1
1007041337093492736,15792387,1
1007053401233022976,70740986,1
1007080825706467328,965393937878970368,1
1007107638201667585,1218767468954411011,1
1007107638201667585,704881118000971777,1
1007283473651027968,1177644192610361345,1
1007370502866796544,1166901582258200576,1
1007370502866796544,1168199974376660992,1
1007370502866796544,1218767468954411011,1
1007370502866796544,1341563480604889089,1
1007370502866796544,1384629443642146817,1
1007370502866796544,1385164720206798852,1
1007370502866796544,311666765,1
1007370502866796544,735228356728360961,1
1007370502866796544,741016777002352640,1
1007370502866796544,798205169330769920,1
1007370502866796544,973596382991912962,1
1007440304671084544,70740986,1
1007516949532643333,1385269499151196161,1
1007516949532643333,70740986,1
1007610216031105025,798205169330769920,1
1007630884562984960,1030279999889309697,1
1007736018467020801,70740986,1
1007736018467020801,89282580,1
1007747342693490688,70740986,1
1007901597962260480,1218767468954411011,1
1007901597962260480,221651256,1
1008028305981952000,1116071575407796224,1
1008054908262801408,70740986,1
1008149515147153409,89282580,1
1008317437669003264,1320708238803873792,1
1008434081842032641,1331018240470917120,1
1008434081842032641,15792387,1
1008434081842032641,70740986,1
1008464412682964992,1218767468954411011,1
1008464412682964992,1487025703,1
1008464412682964992,221651256,1
1008464412682964992,70740986,1
1008516364892626944,70740986,1
1008569901819224065,1181096227,1
1008569901819224065,1218767468954411011,1
100871911,1030279999889309697,1
1008977635395989504,89282580,1
1008977635395989504,973596382991912962,1
100900920,1115620026,1
1009091627728756736,136871743,1
1009091627728756736,460774126,1
1009166194178494470,3117314104,1
1009248678207422464,1218767468954411011,1
1009248678207422464,70740986,1
1009250664579559424,1198827021104750592,1
1009250664579559424,1688509592,1
1009250664579559424,302247437,1
1009250664579559424,70740986,3
1009250664579559424,89282580,2
1009250664579559424,967299284235440128,2
1009253265685536768,1177644192610361345,1
1009253265685536768,846759129125400576,1
1009360200044695552,1218767468954411011,2
1009360200044695552,1364090214491316224,1
1009360200044695552,70740986,1
1009360200044695552,87600997,1
1009523300740067329,3416865239,1
1009825649736015872,70740986,1
1009937271397715969,1028047537431883777,1
1009937271397715969,1218767468954411011,1
1009937271397715969,221651256,2
1009937271397715969,70740986,1
1009948020316745729,1151340112955019265,1
1009948020316745729,1198827021104750592,1
1009948020316745729,1218767468954411011,3
1009948020316745729,221651256,2
1009948020316745729,2861354860,1
1009948020316745729,3124725231,1
1009948020316745729,70740986,1
1009948020316745729,846962629222563843,1
