ID,Name,Twitter_handler,Age,City,Place,Episode_eliminated,Wins,Bottoms,DB_scores
1151340112955019265,Denali Foxx,denalifox,29,"Chicago, IL, USA",8,Episode 10,1,2,5.0
2274214254,Elliott with 2 Ts,theelliottqueen,27,"Las Vegas, NV, USA",9,Episode 9,0,0,4.285
1331018240470917120,Gottmik,gottmik,24,"Los Angeles, CA, USA",3,Episode 16,2,1,6.364
26068447,Joey Jay,joeyjayisgay,30,"Phoenix, AZ, USA",12,Episode 5,0,0,2.5
635906376,Kahmora Hall-Iman,KahmoraHall,29,Unknown,13,Episode 4,0,0,1.25
89282580,Kandy Muse,TheKandyMuse,26,"Los Angeles, CA, USA",2,Episode 16,1,2,4.773
1198827021104750592,LaLa Ri,MissLaLaRi,30,Unknown,10,Episode 7,0,1,3.0
1304051396942139397,Olivia Lux,TheOliviaLux,27,"New York City, NY, USA",5,Episode 13,2,1,4.659
967299284235440128,Rosé,omgheyrose,31,"New York City, NY, USA",3,Episode 16,3,1,7.386
1218767468954411011,Symone,the_symonee,26,"Los Angeles, CA, USA",1,,4,2,6.364
951228252747689991,Tamisha Iman,TamishaIman1,50,"Atlanta, GA, USA",11,Episode 6,0,1,3.75
874256563,Tina Burner,TheTinaBurner,40,"New York City, NY, USA",7,Episode 11,0,1,4.444
1105838381622329344,Utica Queen,QueenUtica,25,"Minneapolis, MN, USA",6,Episode 12,1,0,4.0
