source,target,weight
1000239363454787589,73463687,1
1000760395219587072,1331018240470917120,1
1000803583460368389,1151340112955019265,2
1000803583460368389,798205169330769920,1
1000879041501696000,1218767468954411011,1
1001602641250668544,23680536,1
1001602641250668544,70740986,1
1001807882390851585,23680536,1
1001807882390851585,70740986,1
1001893750174609408,1262049090537500673,1
1001896348659077122,1241600060988760067,1
1001896348659077122,73463687,1
1001896348659077122,973596382991912962,1
1001922308364210181,400539441,1
1001922308364210181,70740986,1
1002531097,1151340112955019265,1
1002602961430818818,1218767468954411011,3
1002890768808325121,62585524,1
1003649010585014272,497591536,1
1003649010585014272,89282580,2
1004069120374116353,28810168,1
1004805551757385729,1068536122106626053,1
1005283717,1331018240470917120,1
1005283717,201308621,1
1005283717,24929621,1
1005636580772601861,162115857,1
100565576,400539441,1
100565576,70740986,1
1005883307186360320,23680536,1
1005883307186360320,70740986,1
1006187553840615424,4049856082,1
1006216010771378176,15792387,1
1006216010771378176,400539441,1
1006216010771378176,70740986,4
1006216010771378176,745218360221245440,1
1006216010771378176,82455213,1
1006228517753905153,1017628083111845888,1
1006228517753905153,1151340112955019265,2
1006228517753905153,1276082192293269504,1
1006228517753905153,1512446430,1
1006228517753905153,16573941,1
1006228517753905153,19409508,1
1006228517753905153,451131659,1
1006228517753905153,70740986,2
1006228517753905153,757695091,1
1006228517753905153,834477656989106183,1
1006228517753905153,920903952539021313,1
1006228517753905153,938424931230060544,1
1006228517753905153,963631905878036482,1
1006230059810619392,1218767468954411011,2
1006230059810619392,221651256,1
1006655097751965702,400539441,1
1006655097751965702,70740986,1
100689030,874256563,1
1007123951993016321,1218767468954411011,1
1007123951993016321,63652756,1
1007635662,1241600060988760067,1
1007635662,1401381980,1
1007736018467020801,1218767468954411011,2
1007736018467020801,1230586851322482688,1
1007736018467020801,1331018240470917120,2
100901653,400539441,1
1009148959783301120,1218767468954411011,1
1009360200044695552,1151340112955019265,1
1009360200044695552,1331018240470917120,1
1009360200044695552,70740986,3
1009825649736015872,1250554778809237505,1
1010559944993787906,1087230353822179328,1
1010559944993787906,70740986,1
101068912,1218767468954411011,2
1011460836127395842,1068681410444173314,1
1011469476720709634,1130862791802404864,1
1012395380,19608297,1
1012395380,70740986,1
1012489662848528384,73463687,1
1012521756647514112,1218767468954411011,2
1012882704348655616,752996742757437440,1
101377213,23680536,1
1013927426798292992,1017628083111845888,1
1013927426798292992,1151340112955019265,3
1013927426798292992,1218767468954411011,2
1013927426798292992,1276082192293269504,1
1013927426798292992,1512446430,1
1013927426798292992,16573941,1
1013927426798292992,19409508,1
1013927426798292992,451131659,1
1013927426798292992,70740986,1
1013927426798292992,757695091,1
1013927426798292992,834477656989106183,1
1013927426798292992,920903952539021313,1
1013927426798292992,938424931230060544,1
1013927426798292992,963631905878036482,1
101400553,745218360221245440,1
1014181321902641152,1331018240470917120,1
101650723,1218767468954411011,1
101650723,70740986,1
1016528162920906752,1230586851322482688,2
1016528162920906752,1331018240470917120,2
1017054005372039168,23680536,1
1017054005372039168,70740986,2
1017628083111845888,1151340112955019265,1
1017793689945608192,1151340112955019265,1
1019075927706406912,2863151596,1
1019075927706406912,35279603,1
1019626776312647681,1068681410444173314,1
1019711416947957760,1151340112955019265,2
1019711416947957760,1331018240470917120,1
1019711416947957760,70740986,1
1021373038657507329,1151340112955019265,1
1021373038657507329,1512446430,1
1021373038657507329,70740986,1
1021373038657507329,757695091,1
1021426178622656512,1218767468954411011,1
1021802416776392704,1362551053632290819,1
1021935316536635392,1151340112955019265,6
1021935316536635392,1198827021104750592,2
1021935316536635392,1218767468954411011,5
1021935316536635392,1304051396942139397,2
1021935316536635392,63652756,1
1021935316536635392,89282580,4
1021935316536635392,967299284235440128,2
1023114301270380544,33549858,1
1023114301270380544,70740986,1
1023261027943821313,14523248,1
1023261027943821313,70740986,1
1024611159675215873,1218767468954411011,1
1024611159675215873,221651256,1
1025091376554237952,1286780777422888963,1
1025187769,70740986,1
1025324514,1304051396942139397,2
1025324514,1331018240470917120,7
1025324514,3223590967,1
1025324514,70740986,1
1025324514,967299284235440128,6
1025525989303087104,19608297,1
1025525989303087104,70740986,1
102575703,1218767468954411011,1
1027446422411595776,70740986,2
1028829859,1497042642,1
1029091475110457346,973596382991912962,1
1029296822412443648,19608297,1
1029296822412443648,70740986,1
1029389300,1331018240470917120,1
1029389300,70740986,3
103089877,70740986,4
1036472772166410240,1218767468954411011,1
1038135102448926720,1218767468954411011,1
1039674950146293761,1218767468954411011,1
1041432788149264385,70740986,2
1041575767,26663786,1
1041575767,400539441,1
104212927,1285434702199955456,1
1042270455615430657,400539441,1
1042270455615430657,70740986,1
1042274199161774080,89282580,1
104359494,1218767468954411011,2
1043847905851920386,1218767468954411011,1
1043976018967564288,1331018240470917120,1
1043976018967564288,70740986,1
1044428590710951936,967299284235440128,1
1044591877855596544,1144263230430355456,1
1044591877855596544,1241600060988760067,2
1044591877855596544,89282580,1
1044635599913852928,19608297,1
1044635599913852928,70740986,1
1046211946763169794,1151340112955019265,1
1046211946763169794,1331018240470917120,2
1046211946763169794,1512446430,1
1046211946763169794,70740986,4
1046211946763169794,757695091,1
1047631426143887360,1012873022963900416,1
1047631426143887360,1348087687148953601,1
1047631426143887360,225875883,1
1047846136898359297,497591536,1
1047846136898359297,89282580,1
104869379,1151340112955019265,1
104869379,451131659,1
1049012548836753409,1151340112955019265,1
1049012548836753409,1218767468954411011,1
1049012548836753409,1331018240470917120,1
1049012548836753409,70740986,1
1049012548836753409,82455213,1
1049296462994182144,1218767468954411011,1
1049944024201670658,1068681410444173314,1
1050026817049034752,1512446430,1
1051658188519591937,2274214254,1
1052408883317276673,1052408883317276673,1
1053119949890301953,1331018240470917120,1
1053119949890301953,3330717731,11
1053119949890301953,70740986,5
1053675414210732032,1229152419382165504,1
1053675414210732032,1295893919843024896,1
1053675414210732032,798205169330769920,1
1053707672682299392,25160076,1
1053893844922761216,1218767468954411011,1
1056665816651960321,1068681410444173314,1
1056975183183929345,1303416853344202752,1
105830071,19608297,1
105830071,70740986,1
1058973739,15792387,2
1058973739,400539441,3
1058973739,70740986,2
1058973739,82455213,2
1059526948639125506,23680536,1
1059526948639125506,70740986,1
1062472125452374016,1241600060988760067,1
1062472125452374016,1348087687148953601,1
1062537221981515776,1218767468954411011,1
1062537221981515776,63652756,1
1062674576394448902,19608297,1
1062674576394448902,70740986,1
1062674576394448902,73463687,1
1063012353137147904,1087230353822179328,1
1063012353137147904,70740986,1
1063979097351774208,1218767468954411011,1
1064203416,1241600060988760067,1
1064203416,523839746,1
1064203416,70740986,1
1064205838632591361,1218767468954411011,8
1064205838632591361,1331018240470917120,4
1064205838632591361,70740986,2
1064712810,1151340112955019265,5
1064712810,1331018240470917120,1
1065040118971551744,497591536,1
1065040118971551744,89282580,2
1065858967262261248,1348087687148953601,1
1066195170041913344,1331018240470917120,1
1066195170041913344,400539441,1
1066195170041913344,70740986,1
1066871492,1151340112955019265,1
1066871492,1331018240470917120,2
1066871492,70740986,3
1068681410444173314,1017628083111845888,1
1068681410444173314,1151340112955019265,2
1068681410444173314,1276082192293269504,1
1068681410444173314,1512446430,1
1068681410444173314,16573941,1
